CustomerID,Recency,Frequency,Monetary
12583,0,18,7188.0
14210,92,7,1911.0
17519,546,7,1840.0
12875,363,2,343.0
15159,31,34,18615.0
17739,70,8,2789.0
17033,96,3,1030.0
15034,29,11,4305.0
14040,9,15,3574.0
14257,124,6,3104.0
16882,244,3,706.0
18145,,4,2879.0
16419,37,7,966.0
15199,30,4,1267.0
12462,99,4,1131.0
12857,69,2,1114.0
18084,38,2,87.0
18068,,1,102.0
14656,341,2,298.0
17886,121,3,903.0
12580,159,1,418.0
14154,,2,1351.0
13229,,1,162.0
15865,1,3,899.0
15252,95,2,746.0
12556,33,2,612.0
13279,183,2,127.0
12519,153,1,341.0
17350,332,5,1263.0
13318,120,3,641.0
16024,,1,257.0
17885,,1,192.0
