CustomerID,Recency,Frequency,Monetary
14865,301,2,52.0
15660,341,12,1559.0
12503,192,1,-1126.0
12735,192,2,783.0
13280,93,3,830.0
18198,121,21,5089.0
14239,159,13,2334.0
13894,69,5,538.0
17302,93,6,1125.0
16045,2,4,1349.0
15104,310,3,1008.0
13760,,2,292.0
15952,182,4,814.0
14393,219,1,68.0
16832,126,3,201.0
17410,0,5,1221.0
16184,5,7,1160.0
18165,,1,303.0
16344,247,1,101.0
17693,,3,188.0
17557,,3,544.0
15807,,3,910.0
17125,,1,262.0
18005,181,2,252.0
13607,,1,687.0
18104,302,1,754.0
12985,29,3,1215.0
