CustomerID,Recency,Frequency,Monetary
17412,30,7,1269.0
17470,188,5,1128.0
15312,127,5,924.0
16748,100,5,1536.0
16943,5,3,821.0
13754,33,2,281.0
12468,218,3,728.0
18125,60,5,1166.0
12372,35,3,1302.0
15303,,1,573.0
18151,,2,654.0
12945,,1,469.0
17770,35,5,1149.0
14670,251,2,417.0
16621,127,4,816.0
15819,129,4,1919.0
13037,249,3,890.0
13573,,2,295.0
17648,61,5,1806.0
14323,307,4,578.0
14149,35,3,258.0
14699,96,1,110.0
15730,123,4,1114.0
16818,95,13,3327.0
14963,95,5,1494.0
13936,,2,361.0
13023,183,2,695.0
14894,,1,657.0
14652,,1,114.0
15565,,2,175.0
15937,183,1,147.0
13876,153,1,124.0
15360,,1,429.0
