CustomerID,Recency,Frequency,Monetary
16955,126,5,495.0
15605,31,5,1207.0
14696,2,9,2077.0
12647,31,13,3682.0
16422,3,75,33787.0
16086,30,6,1124.0
16003,60,5,2755.0
12484,152,8,4529.0
16757,,1,107.0
13725,38,11,1828.0
12507,156,4,1258.0
14346,32,2,1028.0
17002,127,4,1488.0
17416,60,9,6883.0
12878,,3,847.0
15813,,2,1311.0
13658,,7,2441.0
14178,29,7,1632.0
13075,305,1,919.0
13032,333,3,1009.0
12952,60,5,1387.0
16281,,1,2062.0
12740,153,1,429.0
16982,61,1,386.0
15988,,1,158.0
14946,,1,101.0
16988,242,1,127.0
14087,151,2,185.0
