CustomerID,Recency,Frequency,Monetary
15165,697,1,491.0
16638,160,11,1688.0
16817,37,13,1452.0
16252,485,1,-298.0
17816,214,4,37.0
17456,454,1,249.0
14329,37,14,4960.0
16593,279,3,334.0
17714,,1,153.0
14133,38,5,589.0
15971,1,12,4204.0
13394,33,10,2316.0
17507,283,2,610.0
14023,281,2,585.0
15737,36,12,1126.0
13223,,2,163.0
15489,5,4,1094.0
12695,244,4,586.0
15897,,2,224.0
17370,123,4,447.0
16174,33,3,1013.0
13930,,2,337.0
14885,,1,764.0
17309,215,1,83.0
15035,31,1,254.0
13979,,1,872.0
15297,60,4,636.0
14251,120,5,2880.0
16079,,3,1353.0
15423,333,1,44.0
15758,,1,206.0
13638,,1,123.0
17914,181,1,334.0
