CustomerID,Recency,Frequency,Monetary
16499,424,5,320.0
13627,30,7,1631.0
12678,218,13,17596.0
12553,0,14,3680.0
13700,6,10,2279.0
16843,6,17,10205.0
14782,,1,200.0
14659,188,12,2470.0
13728,274,6,1020.0
16494,,1,828.0
14803,98,3,841.0
15676,66,5,3337.0
15092,127,2,459.0
14915,92,3,261.0
15944,129,1,326.0
18086,68,1,102.0
13499,60,7,1152.0
15861,,9,3049.0
17060,,1,235.0
17701,340,1,424.0
18079,216,4,3657.0
12987,338,3,547.0
15453,120,7,1398.0
17414,126,2,777.0
13678,33,1,234.0
14947,336,2,289.0
15653,123,2,877.0
13441,92,1,298.0
12884,1,1,310.0
18228,,3,771.0
14125,29,3,2755.0
16715,,1,302.0
13095,,1,73.0
