CustomerID,Recency,Frequency,Monetary
17581,66,31,10804.0
13506,577,3,454.0
16782,160,19,2277.0
17975,153,14,4414.0
14639,32,8,2962.0
18233,,1,440.0
13815,,5,4037.0
16897,,3,217.0
17422,4,10,1854.0
14727,68,1,270.0
14840,,1,63.0
15251,3,15,10331.0
13376,335,3,1029.0
14288,35,2,415.0
14731,35,3,382.0
14277,35,4,3964.0
16484,279,3,383.0
17828,126,9,1604.0
13849,,2,1550.0
14002,186,2,533.0
12405,,1,1714.0
17229,245,2,318.0
13411,,1,217.0
13434,245,2,535.0
12851,245,1,134.0
12685,29,6,2875.0
16157,,4,646.0
13006,,1,82.0
13176,,1,498.0
18154,181,2,398.0
14664,182,2,640.0
