CustomerID,Recency,Frequency,Monetary
17908,697,1,245.0
15640,39,17,12478.0
15384,666,3,640.0
17796,100,4,710.0
14505,66,11,5883.0
17189,,2,385.0
12585,223,4,1987.0
15673,1,4,2891.0
17083,99,3,1411.0
15397,,1,95.0
14147,,3,469.0
15416,3,5,3998.0
16449,251,3,679.0
16136,30,3,710.0
14155,,1,120.0
16096,,1,320.0
16261,159,4,754.0
17522,95,5,1075.0
16824,,2,462.0
17750,242,9,1790.0
12648,125,1,320.0
13116,,2,492.0
17040,,1,452.0
18268,,2,0.0
12364,301,4,1315.0
14314,,1,120.0
16360,1,8,3435.0
15368,,1,448.0
14300,,1,44.0
