CustomerID,Recency,Frequency,Monetary
14829,60,6,649.0
18156,577,2,745.0
17341,186,3,797.0
15713,485,3,347.0
16442,120,3,622.0
17404,5,18,30306.0
15290,121,21,7816.0
15615,35,27,10422.0
14769,151,10,10730.0
17007,96,7,882.0
13487,66,3,582.0
17593,92,6,3928.0
14732,1,10,2705.0
16497,70,6,2975.0
16918,153,7,1057.0
16405,69,2,167.0
16115,4,8,1692.0
14693,,1,174.0
12982,36,2,377.0
17704,,2,889.0
15912,,2,265.0
13404,35,2,253.0
15187,35,18,4669.0
13192,215,2,922.0
14921,90,2,1321.0
15705,,1,144.0
16762,,3,1512.0
13813,31,5,1358.0
17788,305,2,1118.0
18192,,1,969.0
16071,,1,329.0
15520,120,1,342.0
