CustomerID,Recency,Frequency,Monetary
16029,30,76,50997.0
15301,218,14,5043.0
14708,125,4,1098.0
14684,127,5,1271.0
17231,127,14,3148.0
16271,151,6,1446.0
18223,1,27,6328.0
12410,38,3,682.0
13414,217,3,1392.0
15572,190,7,2570.0
12759,98,3,1541.0
17164,33,8,2468.0
14240,90,2,891.0
14689,,1,113.0
17469,186,6,1858.0
18160,,2,644.0
14561,126,3,1085.0
12615,151,4,2297.0
15007,278,1,158.0
13224,33,3,2172.0
13814,123,3,1560.0
12381,0,6,1808.0
13778,,1,178.0
16629,245,2,422.0
15533,31,5,752.0
13354,,1,745.0
17279,,1,188.0
16363,,1,109.0
16415,,1,210.0
16318,243,1,330.0
