CustomerID,Recency,Frequency,Monetary
16905,242,8,3111.0
12567,126,11,9173.0
13094,38,16,1705.0
15039,70,52,19947.0
13786,516,1,230.0
17324,9,4,997.0
14524,121,9,1880.0
16746,2,19,6765.0
14533,31,9,1816.0
15189,6,53,15802.0
17373,,4,655.0
13908,5,5,2356.0
13803,,1,280.0
17594,,2,1000.0
14152,,3,616.0
14145,186,5,3149.0
12821,96,1,93.0
13737,,1,340.0
14522,123,4,975.0
13466,126,2,298.0
13791,246,3,1047.0
12729,,1,458.0
14208,184,1,154.0
15466,,1,331.0
16120,30,5,1295.0
13271,302,2,176.0
12374,,1,746.0
16666,,1,124.0
17385,,1,267.0
14126,301,4,645.0
12650,181,1,318.0
