CustomerID,Recency,Frequency,Monetary
12791,697,1,193.0
12474,3,30,7142.0
15602,29,15,1088.0
15002,223,4,1658.0
15628,65,10,2867.0
17744,181,7,2290.0
15208,30,6,872.0
13397,95,6,1542.0
13168,274,5,1321.0
12834,310,1,313.0
12994,32,5,914.0
15648,220,4,600.0
13249,123,3,710.0
16960,61,3,515.0
17268,3,4,764.0
15237,120,4,1424.0
16610,249,1,75.0
18227,188,1,95.0
16006,5,1,100.0
17124,157,1,301.0
17155,,2,251.0
12704,243,10,2229.0
13106,277,2,60.0
12828,151,6,1021.0
17267,246,2,319.0
14020,1,2,642.0
13518,,1,662.0
13689,153,1,910.0
12631,,1,644.0
14349,,1,136.0
