CustomerID,Recency,Frequency,Monetary
14813,577,2,156.0
17259,546,2,606.0
16138,546,1,-8.0
12709,0,26,9291.0
14565,215,6,3083.0
13426,31,12,3549.0
16134,,3,605.0
14292,1,14,4820.0
15938,220,5,406.0
13584,191,1,143.0
12509,,1,179.0
15636,31,2,723.0
14193,275,2,856.0
16383,,2,668.0
17603,,5,-1167.0
17966,33,5,1099.0
14128,61,2,637.0
16698,,2,1998.0
16370,65,4,1331.0
15909,,1,192.0
16114,,1,138.0
15895,,1,178.0
17331,124,1,175.0
13644,332,5,2608.0
12895,,3,346.0
13422,183,2,2606.0
16921,91,1,173.0
