CustomerID,Recency,Frequency,Monetary
16203,0,5,591.0
15240,6,7,1688.0
14810,100,11,2107.0
17402,90,13,2635.0
14850,342,2,279.0
13842,0,9,3404.0
15723,424,1,206.0
16676,66,5,1562.0
15831,0,4,755.0
13684,,2,62.0
14157,,3,401.0
13265,1,5,2107.0
15445,,1,114.0
12949,90,10,4156.0
13515,189,4,900.0
18220,249,2,298.0
16227,249,2,308.0
17501,280,2,290.0
17970,5,1,586.0
14009,,3,693.0
13833,278,1,389.0
16041,90,3,3167.0
15494,63,2,1301.0
17973,,1,340.0
16602,121,2,494.0
16953,90,1,21.0
17977,60,1,289.0
