CustomerID,Recency,Frequency,Monetary
13047,121,18,3104.0
15311,0,118,59555.0
16122,39,4,684.0
13802,342,6,3907.0
17634,35,9,2371.0
16655,9,6,3807.0
16315,,1,229.0
15057,98,2,1491.0
17705,38,10,1798.0
15785,60,8,2308.0
12365,,3,323.0
15590,,1,-30.0
13509,37,7,982.0
14483,282,2,130.0
13654,36,6,2726.0
12593,219,3,423.0
12974,,1,146.0
14823,4,3,329.0
13761,,2,1080.0
12919,3,8,1305.0
16147,,1,379.0
12879,92,4,552.0
13260,91,1,559.0
13471,120,4,2550.0
15870,152,1,365.0
14675,,1,612.0
17806,,1,544.0
