CustomerID,Recency,Frequency,Monetary
17809,38,15,4632.0
15738,68,19,4795.0
17044,332,3,898.0
12393,39,4,1591.0
16791,39,8,1739.0
15296,35,10,3631.0
17708,218,2,269.0
13875,38,5,1805.0
14289,6,6,919.0
14377,338,2,617.0
17754,89,6,1755.0
17775,,1,56.0
13060,,1,307.0
17783,189,2,290.0
15655,67,2,512.0
18221,5,6,1037.0
13601,5,2,703.0
16283,32,7,1548.0
14837,31,5,1646.0
14997,1,4,543.0
17837,30,10,1573.0
13207,3,2,249.0
14420,335,2,385.0
16924,183,4,750.0
13483,214,1,140.0
16680,,1,184.0
14714,,1,162.0
