CustomerID,Recency,Frequency,Monetary
14527,1,86,7787.0
14001,697,4,2032.0
17964,121,2,475.0
15823,192,2,-841.0
17026,157,2,155.0
13579,577,2,471.0
16235,39,6,865.0
14541,0,8,1469.0
16133,29,46,14309.0
12350,311,1,334.0
18087,38,4,3769.0
15755,1,8,2325.0
12520,37,6,2590.0
13216,,1,335.0
14476,,1,217.0
18177,121,7,1335.0
17120,,1,312.0
16358,65,5,2041.0
15825,,1,534.0
14716,,2,331.0
14434,61,6,1377.0
13460,60,2,188.0
16070,152,2,853.0
14382,,1,631.0
12452,,3,430.0
12531,,1,127.0
14219,212,1,90.0
