CustomerID,Recency,Frequency,Monetary
13255,181,3,392.0
15012,697,2,429.0
15038,0,7,673.0
13807,516,1,114.0
18077,32,11,2658.0
16016,181,10,1508.0
13496,,3,621.0
17913,0,2,421.0
15415,,1,580.0
18093,32,5,2085.0
16509,,1,365.0
14473,310,2,234.0
15400,123,6,666.0
14645,98,2,602.0
16777,,2,231.0
17906,189,1,75.0
13752,96,6,1191.0
14619,128,2,383.0
14905,125,3,602.0
13417,212,2,644.0
13657,,2,384.0
15314,,1,329.0
13291,156,1,366.0
13805,305,2,923.0
17736,121,4,339.0
17183,121,8,3288.0
18255,31,1,103.0
17528,0,11,3560.0
17878,,1,380.0
17221,274,2,337.0
12445,,1,133.0
12702,,1,220.0
