CustomerID,Recency,Frequency,Monetary
17135,302,7,1146.0
14404,182,7,1445.0
15984,151,11,2842.0
14618,192,4,539.0
15811,160,9,2184.0
17618,220,3,980.0
14113,181,8,1379.0
13859,,1,205.0
12421,,5,808.0
15339,244,3,559.0
15365,183,9,1336.0
16573,310,4,654.0
17171,,1,226.0
15393,282,2,231.0
15245,218,3,2526.0
17398,,3,658.0
14852,0,6,2851.0
13655,6,2,944.0
15582,280,3,687.0
16369,,3,1567.0
14451,61,2,662.0
12473,60,9,2865.0
14132,3,12,3580.0
15186,,2,415.0
16429,,1,285.0
16400,184,1,305.0
15504,,1,55.0
16591,303,1,215.0
16052,,1,367.0
14354,90,2,162.0
15435,,1,153.0
12349,,1,1767.0
14785,,2,77.0
14954,,1,341.0
18015,212,1,120.0
