CustomerID,Recency,Frequency,Monetary
16719,223,8,1802.0
17722,245,6,2386.0
13982,454,5,1875.0
17230,69,11,3470.0
15797,96,4,2207.0
17515,121,4,647.0
14006,6,3,968.0
17362,283,2,313.0
16842,69,4,1263.0
13044,,1,568.0
16014,64,4,668.0
14004,246,7,4594.0
17080,,3,285.0
13650,1,7,1814.0
15408,,1,268.0
14403,188,5,1428.0
14649,35,4,1425.0
12562,216,7,3811.0
12904,,2,515.0
12424,,2,1766.0
17899,278,1,158.0
14918,125,2,1616.0
12981,60,2,373.0
15247,93,1,357.0
16910,92,8,1535.0
15947,,1,1709.0
14799,,1,159.0
14080,152,1,45.0
