CustomerID,Recency,Frequency,Monetary
15689,2,2,255.0
16191,1,25,4915.0
17018,,2,924.0
15638,38,1,-94.0
17817,160,3,391.0
16917,129,1,393.0
15206,98,4,420.0
14013,98,3,474.0
12937,,4,1523.0
17946,,2,150.0
13439,,1,291.0
12888,96,4,313.0
16657,,4,956.0
12910,6,8,3074.0
16637,61,5,1126.0
15163,,2,305.0
14453,307,1,122.0
13517,30,5,2122.0
15700,,3,669.0
15829,335,2,637.0
16292,63,2,280.0
16952,,2,170.0
14436,304,1,90.0
17447,,2,540.0
16688,61,4,1265.0
15330,61,2,716.0
16934,,2,953.0
14474,,2,543.0
14139,,1,413.0
16732,121,1,606.0
16204,,1,411.0
