CustomerID,Recency,Frequency,Monetary
14911,0,248,132973.0
16713,1,21,6908.0
16570,152,15,3641.0
14320,39,3,343.0
17226,252,1,395.0
17105,191,2,670.0
12616,215,5,660.0
12361,,1,191.0
14762,,1,303.0
17733,333,2,693.0
17250,181,2,389.0
13512,,1,253.0
12456,,4,3161.0
14000,5,2,636.0
16987,181,7,1633.0
15791,307,3,1614.0
18073,156,13,3875.0
13699,156,1,310.0
14511,123,6,1269.0
14024,63,2,331.0
15472,,1,381.0
16093,,1,17.0
13127,,1,260.0
16169,60,4,1829.0
16361,,4,902.0
17957,244,1,116.0
18033,214,1,101.0
15748,,1,150.0
17791,60,1,107.0
18110,,2,213.0
15539,301,1,539.0
