CustomerID,Recency,Frequency,Monetary
13758,100,7,3199.0
13113,5,40,10532.0
15192,2,3,1050.0
14441,38,10,1545.0
18016,152,5,1491.0
13198,32,8,3413.0
12829,162,3,254.0
14913,37,4,1231.0
12778,95,7,803.0
14304,38,2,198.0
12714,,5,4734.0
15722,218,6,2186.0
13870,151,10,2759.0
17763,,1,15.0
15528,,1,234.0
15630,,3,1184.0
15124,338,2,185.0
17024,217,3,96.0
15306,123,3,1179.0
17333,,1,495.0
14951,,1,313.0
16101,,3,1254.0
16106,214,1,108.0
15553,61,1,442.0
14121,30,6,2747.0
12371,30,2,1894.0
12812,,1,231.0
17084,243,2,2968.0
15168,,1,107.0
