CustomerID,Recency,Frequency,Monetary
16168,3,28,3783.0
15894,577,2,268.0
13034,577,2,646.0
13531,485,2,489.0
12666,,1,-227.0
15719,3,14,5067.0
14828,162,3,2142.0
15518,39,13,1937.0
13993,31,12,3427.0
14088,277,14,50463.0
14534,2,25,4114.0
17619,,1,223.0
16389,341,5,1363.0
14730,120,8,2026.0
18173,68,4,2108.0
15388,,1,141.0
14538,183,2,388.0
17187,,1,206.0
16055,280,1,136.0
12749,32,8,3890.0
13575,0,5,737.0
15014,,2,262.0
13895,29,5,2598.0
15942,,1,339.0
13236,1,3,731.0
18059,275,4,294.0
17295,29,3,562.0
17119,30,3,597.0
14975,,1,281.0
12558,120,2,0.0
